genome_id	genome_id_safe	assembly_name	genome_id_status	organism_type	haplotype	assembly_version	is_public	embargo_until	prov_bioproject_parent	prov_bioproject	prov_biosample	prov_insdc_note	prov_genome_doi	prov_publication_doi	prov_data_usage_policy	prov_annotation_pipeline	prov_annotation_pipeline_version	prov_ref_db	prov_ref_db_version	prov_annotation_transferred_from	spec_specimen_id	spec_collector	spec_collection_date	spec_site_name	spec_lat	spec_lon	spec_symbiont_status	tax_ncbi_taxid	tax_class	tax_order	tax_family	tax_genus	tax_species	tax_ott_id
GCA_014633955.1	GCA_014633955_1	Aten_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Acropora tenuis	NA	5/5/2015	Japan	NA	NA	NA	70783	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora tenuis	97331
GCA_014633975.1	GCA_014633975_1	Aacu_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	Sperm of Acropora acuminata	NA	2015-05	Japan	NA	NA	NA	367763	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora acuminata	390548
GCA_014634005.1	GCA_014634005_1	Aawi_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	Sperm of Acropora awi	NA	2015-05	Japan	NA	NA	NA	1929007	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora awi	3674983
GCA_014634045.1	GCA_014634045_1	Acyt_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Acropora cytherea	NA	2015-05	Japan	NA	NA	NA	46686	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora cytherea	22280
GCA_014634065.1	GCA_014634065_1	Adig_2.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Acropora digitifera	NA	2015-05	Japan	NA	NA	NA	70779	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora digitifera	366634
GCA_014634105.1	GCA_014634105_1	Aech_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	Sperm of Acropora echinata	NA	2015-05	Japan	NA	NA	NA	513064	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora echinata	471644
GCA_014634125.1	GCA_014634125_1	Agem_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Acropora gemmifera	NA	2015-05	Japan	NA	NA	NA	70780	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora gemmifera	200912
GCA_014634165.1	GCA_014634165_1	Amic_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Acropora microphthalma	NA	2015-05	Japan	NA	NA	NA	156436	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora microphthalma	150209
GCA_014634185.1	GCA_014634185_1	Amyr_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Sperm of Astreopora myriophthalma	NA	2015-05	Japan	NA	NA	NA	102202	Anthozoa	Scleractinia	Acroporidae	Astreopora	Astreopora myriophthalma	145363
GCA_014634205.1	GCA_014634205_1	Anas_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB8519	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	Sperm of Acropora nasuta	NA	2015-05	Japan	NA	NA	NA	70778	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora nasuta	366633
