genome_id	genome_id_safe	tolid	tax_species
GCA_982319565.1	GCA_982319565_1	jaAcrAbro1	Acropora abrotanoides
GCA_014633975.1	GCA_014633975_1	Aacu_1.0	Acropora acuminata
GCA_964273435.1	GCA_964273435_1	jaAcrAuse1	Acropora austera
GCA_014634005.1	GCA_014634005_1	Aawi_1.0	Acropora awi
GCA_964034985.1	GCA_964034985_1	jaAcrCerv1	Acropora cervicornis
GCA_965118205.1	GCA_965118205_1	jaAcrPulc1	Acropora cf. manni
GCA_014634045.1	GCA_014634045_1	Acyt_1.0	Acropora cytherea
GCA_014634065.1	GCA_014634065_1	Adig_2.0	Acropora digitifera
GCA_014634105.1	GCA_014634105_1	Aech_1.0	Acropora echinata
GCA_014634605.1	GCA_014634605_1	Aflo_1.0	Acropora florida
GCA_014634125.1	GCA_014634125_1	Agem_1.0	Acropora gemmifera
GCA_964274385.1	GCA_964274385_1	jaAcrGlau1	Acropora glauca
GCA_037127295.1	GCA_037127295_1	Ahemp.RedSea.gaplosed_f2.ukon	Acropora hemprichii
GCA_964291705.1	GCA_964291705_1	jaAcrHyac4	Acropora hyacinthus
GCA_048544155.1	GCA_048544155_1	ASM4854415v1	Acropora intermedia
GCA_965214385.1	GCA_965214385_1	jaAcrLori1	Acropora loripes
GCA_014634165.1	GCA_014634165_1	Amic_1.0	Acropora microphthalma
GCF_013753865.1	GCF_013753865_1	Amil_v2.1	Acropora millepora
GCA_964332325.1	GCA_964332325_1	jaAcrMuri1	Acropora muricata
GCA_014634205.1	GCA_014634205_1	Anas_1.0	Acropora nasuta
GCA_964030605.3	GCA_964030605_3	jaAcrPala1	Acropora palmata
GCA_044231415.1	GCA_044231415_1	Apul_v1.1	Acropora pulchra
GCA_014634525.1	GCA_014634525_1	Asel_1.0	Acropora selago
GCA_964019555.1	GCA_964019555_1	jaAcrSpat14	Acropora spathulata
GCA_964261235.1	GCA_964261235_1	jaAcrSpic1	Acropora spicifera
GCA_014633955.1	GCA_014633955_1	Aten_1.0	Acropora tenuis
GCA_014634225.1	GCA_014634225_1	Ayon_1.0	Acropora yongei
GCA_974392565.1	GCA_974392565_1	jaAgaAgar1	Agaricia agaricites
GCA_977015295.1	GCA_977015295_1	jaAgaLama2	Agaricia lamarcki
GCA_047906015.2	GCA_047906015_2	PSU_Apoculata_full	Astrangia poculata
GCA_014634185.1	GCA_014634185_1	Amyr_1.0	Astreopora myriophthalma
GCA_947652115.1	GCA_947652115_1	jaBlaWell11	Blastomussa sp.
GCA_022496165.2	GCA_022496165_2	CUHK_Cjar_2.0	Catalaphyllia jardinei
GCA_965607595.1	GCA_965607595_1	jaCauFurc1	Caulastraea furcata
GCA_977000285.1	GCA_977000285_1	jaClaCaes1	Cladocora caespitosa
GCA_022457155.1	GCA_022457155_1	ASM2245715v1	Cladopsammia gracilis
GCA_043250805.1	GCA_043250805_1	PSU_CNat_1.0.0	Colpophyllia natans
GCA_977013685.1	GCA_977013685_1	jaColNata1	Colpophyllia natans
GCA_964194085.1	GCA_964194085_1	jaCypSala7	Cyphastrea salae
GCA_964187815.1	GCA_964187815_1	jaDenCyli1	Dendrogyra cylindrus
GCA_024195265.1	GCA_024195265_1	GRF_DCR_1.0	Dendrophyllia cribrosa
GCA_029204205.1	GCA_029204205_1	Loph_1.0	Desmophyllum pertusum
GCA_965282425.1	GCA_965282425_1	jaDipLaby1	Diploria labyrinthiformis
GCA_964258685.1	GCA_964258685_1	jaDunAxif1	Duncanopsammia axifuga
GCA_964199735.2	GCA_964199735_2	jaEchHorr1	Echinopora horrida
GCA_042850425.1	GCA_042850425_1	Fanc_1.0	Fimbriaphyllia ancora
GCA_977014755.1	GCA_977014755_1	jaFimPara1	Fimbriaphyllia paradivisa
GCA_948470475.1	GCA_948470475_1	jaGalFasc40	Galaxea sp.
GCA_964212065.1	GCA_964212065_1	jaIsoPali11	Isopora aff. cuneata
GCA_044509875.1	GCA_044509875_1	ASM4450987v1	Leptoseris scabra
GCA_964059495.1	GCA_964059495_1	jaMadAure2	Madracis auretenra
GCA_964656595.1	GCA_964656595_1	jaMadSena2	Madracis senaria
GCA_977014845.1	GCA_977014845_1	jaMadSpea1	Madrepora sp. 1 SH-2022
GCA_046129775.1	GCA_046129775_1	Madrepora sp._1.0	Madrepora sp. SY280-shi
GCA_963693305.1	GCA_963693305_1	jaMeaMean2	Meandrina meandrites
GCA_964020085.1	GCA_964020085_1	jaMicLord3	Micromussa lordhowensis
GCA_014634245.1	GCA_014634245_1	Mcac_1.0	Montipora cactus
GCA_949126865.1	GCA_949126865_1	jaMonCapi2	Montipora capitata
GCA_036669925.2	GCA_036669925_2	ASM3666992v2	Montipora capricornis
GCA_965112405.1	GCA_965112405_1	jaMonCapr1	Montipora capricornis
GCA_014634505.1	GCA_014634505_1	Meff_1.0	Montipora efflorescens
GCA_036669935.2	GCA_036669935_2	ASM3666993v2	Montipora foliosa
GCA_043882275.1	GCA_043882275_1	ASM4388227v1	Montipora grisea
GCA_964205245.1	GCA_964205245_1	jaMonSpea1	Montipora indentata
GCA_964330385.1	GCA_964330385_1	jaMonPala3	Montipora palawanensis
GCA_023091755.1	GCA_023091755_1	Montipora_aff_capitata_1.0	Montipora sp. Colony 1 RG-2022
GCA_964656845.1	GCA_964656845_1	jaOcuArbu1	Oculina arbuscula
GCA_052425735.1	GCA_052425735_1	crgOcupat	Oculina patagonica
GCA_977012905.1	GCA_977012905_1	jaOrbAnnu2	Orbicella annularis
GCA_042242905.1	GCA_042242905_1	um_ofav_v1	Orbicella faveolata
GCA_964199315.1	GCA_964199315_1	jaOrbFran1	Orbicella franksi
GCA_016490735.1	GCA_016490735_1	ASM1649073v1	Pachyseris speciosa
GCA_977016875.1	GCA_977016875_1	jaPavDecu1	Pavona decussata
GCA_019787425.1	GCA_019787425_1	ASM1978742v1	Platygyra sinensis
GCA_964200805.1	GCA_964200805_1	jaPocDami1	Pocillopora damicornis
GCA_964027065.2	GCA_964027065_2	jaPocGran1	Pocillopora grandis
GCA_942486045.1	GCA_942486045_1	PMEA_v1	Pocillopora meandrina
GCA_036669915.2	GCA_036669915_2	ASM3666991v2	Pocillopora verrucosa
GCA_052402645.1	GCA_052402645_1	ASM5240264v1	Podabacia crustacea
GCA_054491535.1	GCA_054491535_1	ASM5449153v1	Polymyces sp. M5039
GCA_022179025.1	GCA_022179025_1	Paus_1.0	Porites australiensis
GCA_964035525.1	GCA_964035525_1	jaPorCyli1	Porites cylindrica
GCA_964035745.1	GCA_964035745_1	jaPorDiva4	Porites divaricata
GCA_942486025.1	GCA_942486025_1	PEVE_v1	Porites evermanni
GCA_958299795.1	GCA_958299795_1	jaPorLute2	Porites haddoni
GCA_040938025.2	GCA_040938025_2	PAG_UKon_Phar_v2	Porites harrisoni
GCA_973946955.1	GCA_973946955_1	jaPorLoba17	Porites lobata
GCA_964035705.1	GCA_964035705_1	jaPorRusx1	Porites rus
GCA_977016835.1	GCA_977016835_1	jaPseCliv1	Pseudodiploria clivosa
GCA_964017195.1	GCA_964017195_1	jaSidRadi1	Siderastrea radians
GCA_964030785.1	GCA_964030785_1	jaSidSide1	Siderastrea siderea
GCA_965112835.1	GCA_965112835_1	jaSteInte3	Stephanocoenia intersepta
GCA_964205215.1	GCA_964205215_1	jaStyPist1	Stylophora pistillata
GCA_977035595.1	GCA_977035595_1	TubCoc3	Tubastraea coccinea
GCA_964204835.1	GCA_964204835_1	jaTurReni1	Turbinaria lichenoides
