genome_id	total_bp	scaffold_count	N50	min_scaffold_len	avg_scaffold_len	max_scaffold_len	gc_pct	soft_masked_pct	repeat_retroelements_pct	repeat_dna_transposons_pct	repeat_rolling_circles_pct	repeat_unclassified_pct	repeat_total_interspersed_pct	repeat_small_rna_pct	repeat_satellites_pct	repeat_simple_repeats_pct	repeat_low_complexity_pct	genes	average_gene_length	transcripts_per_gene	average_transcript_length	exons_per_transcript	average_exon_length	transcripts_total	single_exon_transcripts	multi_exon_transcripts	introns_total	avg_introns_per_transcript	avg_intron_length	median_intron_length	min_intron_length	max_intron_length	busco_lineage	busco_mode	busco_n	busco_complete_pct	busco_single_pct	busco_duplicated_pct	busco_fragmented_pct	busco_missing_pct	omark_clade	omark_conserved_hogs	omark_single_pct	omark_duplicated_pct	omark_dup_unexpected_pct	omark_dup_expected_pct	omark_missing_pct	omark_consistent_pct	omark_inconsistent_pct	omark_contamination_pct	omark_unknown_pct	eggnog_total_queries	eggnog_annotated	eggnog_annotated_pct	eggnog_with_go	eggnog_with_go_pct	eggnog_with_kegg_ko	eggnog_with_kegg_ko_pct	eggnog_with_cog	eggnog_with_cog_pct	eggnog_with_pfam	eggnog_with_pfam_pct	iprscan_total_proteins	iprscan_proteins_with_domain	iprscan_proteins_with_domain_pct	iprscan_proteins_with_go	iprscan_proteins_with_go_pct
GCA_014633955.1	403138309	1538	1165953	535	262118.5	4392697	36.05	45.4356	10.66	3.61	0.23	26.64	40.91	0.62	0.04	0.71	0.11	24534	5805	1.1811363821635281	1374	6.730519704603492	204	28978	9065	19913	166059	5.7305	927.1225	576	21	194142	cnidaria_odb12	proteins	3203	91.6	75.1	16.4	2.7	5.7	Cnidaria	4117	85.28	6.75	4.96	1.80	7.97	61.01	8.62	0.00	30.37	22736	22736	100.0	11947	52.55	12722	55.96	20455	89.97	20030	88.1	24799	24799	100.0	13385	53.97
GCA_014633975.1	394735330	3293	1005452	507	119871.0	5077462	36.90	45.6747	10.51	3.71	0.27	27.84	42.06	0.6	0.03	0.67	0.11	33066	4857	1.1311014334966432	1280	6.128205128205129	208	37401	9645	27756	191800	5.1282	763.7905	534.0	30	17436	cnidaria_odb12	proteins	3203	93.1	83.0	10.1	3.7	3.2	Cnidaria	4117	83.46	11.56	9.67	1.89	4.98	55.15	9.87	0.00	34.98	28236	28236	100.0	12762	45.2	14057	49.78	24121	85.43	24035	85.12	31237	31237	100.0	14438	46.22
GCA_014634005.1	428844380	2821	1089856	505	152018.6	5702590	33.75	44.9644	9.65	3.0	0.21	25.27	37.93	0.51	0.0	0.64	0.1	33174	4773	1.1341110508229337	1231	5.914733009063605	208	37623	9852	27771	184907	4.9147	780.4849	536	34	17206	cnidaria_odb12	proteins	3203	86.9	78.1	8.8	7.9	5.2	Cnidaria	4117	81.30	12.73	11.00	1.72	5.98	54.65	9.80	0.00	35.55	28141	28141	100.0	12786	45.44	14158	50.31	24118	85.7	23957	85.13	30955	30955	100.0	14263	46.08
GCA_014634045.1	426326548	4046	1091490	533	105369.9	6017606	36.59	48.2593	12.3	3.92	0.3	27.94	44.16	0.64	0.0	0.64	0.1	23136	4618	1.1524464038727524	1283	5.921726737426396	216	26663	8216	18447	131228	4.9217	765.116	541.0	20	116250	cnidaria_odb12	proteins	3203	79.0	65.3	13.7	6.0	15.0	Cnidaria	4117	75.22	9.76	8.31	1.46	15.01	60.14	9.23	0.00	30.63	20614	20614	100.0	10509	50.98	11148	54.08	18218	88.38	18022	87.43	23068	23068	100.0	11233	48.7
GCA_014634065.1	415828151	955	1856312	510	435422.1	7632824	38.87	50.2130	13.91	4.78	0.33	29.98	48.67	0.65	0.01	0.72	0.1	24337	4856	1.1551136130172166	1095	5.707384746727376	191	28112	8906	19206	132334	4.7074	902.9616	566.0	20	301503	cnidaria_odb12	proteins	3203	77.2	64.1	13.2	8.0	14.8	Cnidaria	4117	77.95	9.08	7.51	1.58	12.97	58.59	7.97	0.00	33.44	21071	21071	100.0	11242	53.35	11984	56.87	18850	89.46	18453	87.58	23486	23486	100.0	11861	50.5
GCA_014634105.1	401478809	2002	1917675	478	200538.9	8284083	33.20	42.2695	8.96	2.97	0.2	23.03	34.96	0.26	0.04	0.62	0.1	32462	4760	1.138377179471382	1237	5.935189695296856	208	36954	9863	27091	182375	4.9352	775.2525	535	25	23811	cnidaria_odb12	proteins	3203	87.2	78.0	9.2	7.9	4.9	Cnidaria	4117	83.22	11.25	9.55	1.70	5.54	54.47	9.75	0.00	35.79	27548	27548	100.0	12596	45.72	13996	50.81	23751	86.22	23616	85.73	30344	30344	100.0	14076	46.39
GCA_014634125.1	400993167	2274	1141272	289	176338.2	6624956	35.23	44.2035	11.19	3.72	0.2	23.97	38.89	0.47	0.04	0.67	0.1	19957	5541	1.180538157037631	1367	6.893505942275042	198	23560	6478	17082	138851	5.8935	851.5033	559	21	266481	cnidaria_odb12	proteins	3203	85.2	67.3	17.9	4.6	10.2	Cnidaria	4117	81.88	6.63	5.08	1.55	11.49	64.99	7.97	0.00	27.03	18913	18913	100.0	10729	56.73	11254	59.5	17250	91.21	16813	88.9	20711	20711	100.0	11406	55.07
GCA_014634165.1	383861656	4878	1061150	515	78692.4	6285006	35.33	42.4240	9.84	3.02	0.2	24.61	37.46	0.47	0.01	0.67	0.1	23312	5484	1.179907343857241	1347	6.659565185777648	202	27506	8181	19325	155672	5.6596	856.7769	559.0	20	187615	cnidaria_odb12	proteins	3203	89.5	71.7	17.9	3.6	6.9	Cnidaria	4117	83.05	8.45	6.73	1.72	8.50	62.81	8.26	0.00	28.93	21681	21681	100.0	11774	54.31	12524	57.76	19596	90.38	19207	88.59	23919	23919	100.0	12942	54.11
GCA_014634185.1	373482476	1149	1634538	552	325050.0	7441048	38.38	44.3254	11.15	4.13	0.22	25.22	40.5	0.81	0.03	0.96	0.13	22043	6634	1.1948464365104567	1427	7.090022021413927	201	26338	7408	18930	160399	6.09	1024.1693	588	20	110256	cnidaria_odb12	proteins	3203	90.3	72.3	18.0	3.1	6.6	Cnidaria	4117	84.04	7.82	5.34	2.48	8.14	65.01	7.89	0.00	27.10	21356	21356	100.0	11671	54.65	12385	57.99	19043	89.17	18666	87.4	23255	23255	100.0	12774	54.93
GCA_014634205.1	416422065	4717	1051962	514	88281.1	5173730	36.16	46.4702	11.07	3.86	0.23	27.08	42.01	0.54	0.03	0.63	0.1	34459	4735	1.142081894425259	1271	5.891983229576928	215	39355	10494	28861	192524	4.892	762.5989	533.0	36	15558	cnidaria_odb12	proteins	3203	88.4	77.6	10.8	6.6	4.9	Cnidaria	4117	77.44	16.78	15.04	1.75	5.78	55.80	9.13	0.00	35.07	29399	29399	100.0	13669	46.49	15008	51.05	25215	85.77	25103	85.39	32762	32762	100.0	15029	45.87
